jn_id,ghap_id,layer_id,title,record_type,description,latitude,longitude,datestart,dateend,source,linkback,created_at,updated_at,Source_ID,LanguageGroup,Colony,StateOrTerritory,PoliceDistrict,KnownDate,AttackTime,Victims,VictimsDead,VictimDescription,Attackers,AttackersDead,AttackerDescription,Transport,Motive,WeaponsUsed,CorroborationRating,RetaliationForDeaths,VictimNotes,AboriginalPlaceName,AttackerNotes,MassacreGroup,AttackerNames,KNN1,KNN2,KNN3,War,Stage,WarStage,Region,Period
342,td0ce9,1336,"Darkie Point, Bellinger River",Site,"In the autumn of 1841, three shepherds on Frederick Eldershaw's outstation on the north eastern edge of New England were brutally murdered and 2000 sheep taken by Baanbay warriors (Eldershaw, 1854, p 63). In reprisal Eldershaw organised a 'pursuing party' of ten men (including Eldershaw, three neighbours and six stockmen), 'well mounted and accoutred' and set off with ten days provisions for the south branch of the Clarence River. According to Eldershaw the party was ambushed by fire on at least one occasion, and after several days, they found the Baanbay camp and the sheep towards evening and split their party in two. One group remained hidden near the camp, and the other, with Eldershaw in the lead, moved to a higher ground above the camp of about 200 Baanbay. When they heard a shot fired below, in reprisal for Baanbay warriors killing one of the men, the group above immediately discharged the 'contents of ten barrels' into the camp below. A second volley from below and a third from above 'dealt frightful havoc in their ranks' and 'according to Eldershaw 'some [of the Baanbay] actually dashed themselves in frantic violence to the depths beneath, in utter heedlessness of life' (Eldershaw 1854, p 73). 'Shot after shot, with curses wild and deep the excited fellows launched at their hated foes - their butchered comrades' blood was that night fearfully avenged' (Eldershaw, 1854, p 73).
<br>
It is estimated that at least 30 Baanbay people were shot. In his book Eldershaw justified the massacre on the grounds that it instilled in the local Aboriginal people 'a mysterious and superstitious fear of the stupendous power of the white man', caused them to become 'harmless, tractable and <i>subdued</i>' and thus the  'barbarous and inhuman <i>secret</i> murders [of colonists], by poison or by some violent remorseless treachery, of which in preceding times I had so frequently heard and read, were now happily abolished' (Eldershaw 1854, p 74). Eldershaw's account is reproduced in Blomfield 1981, pp 85-91 and Elder 2003, pp 105-117.",-30.444,152.397,1841-05-01,1841-05-31,"<a href=""https://www.google.com.au/books/edition/Australia_as_it_Really_is/8aYNAAAAYAAJ?hl=en&gbpv=1&printsec=frontcover"">Eldershaw 1854, pp 63-74</a>; Blomfield 1981, pp 85-91; Elder 2003, pp 105-117.",https://c21ch.newcastle.edu.au/colonialmassacres/detail.php?r=582,2024-06-01 00:06:21,2024-11-17 15:29:53,582,Baanbay,NSW,NSW,Armidale,01/05/1841,Day,Aboriginal or Torres Strait Islander People,30,Aboriginal,Colonists,0,"Settler(s), Stockmen/Drover(s)",Horse,Reprisal,"Firearm(s), Musket(s), Poison",*,3 shepherds,,,,,,20,11,6,Anewan,Macleay and Nambucca,Anewan: Macleay and Nambucca,East,South
55,td0d7d,1336,"Paddys Land, New England",Site,"According to settler Joshua Scholes, after Baanbay warriors killed Mrs Sullivan, the wife of a shepherd, at Aberfoyle Station, Constable Michael Clogher from Kempsey Police Station and a party of armed settlers set off on horseback in pursuit. They followed Baanbay people to Paddys Land where they surrounded them 'and shot down as many as they could' (<i>Uralla Times and District Advocate</i>, 19 April 19, 1923, p 1). Clogher had a cavalry sword and was an excellent shot with pistols (<i>Daily Examiner</i>, October 28, 1942, p 1). There are various spellings of the name of the constable in the sources. Some use 'Clogher' while others use 'Clogger'. The name 'Constable Michael Cloggan' (<i>Uralla Times and District Advocate</i>, 19 April 19, 1923, p 1) appears to be a confusion of 'Clogher' with the name of the 'Coghlan' family in the area, and also the author of some of the anecdotes (<i>Don Dorrigo Gazette and Guy Fawkes Advocate</i>, 27/10/1939).",-30.067,151.883,1852-08-01,1852-08-31,"<i>Uralla Times and District Advocate</i>, April 19, 1923, p 1 <a href=""http://nla.gov.au/nla.news-article174406980"">http://nla.gov.au/nla.news-article174406980</a>; <i>Don Dorrigo Gazette</i>, October 27, 1939, p 2 <a href=""http://nla.gov.au/nla.news-article171867043"">http://nla.gov.au/nla.news-article171867043</a>, and August 3, 1945, p 5 <a href=""http://nla.gov.au/nla.news-article173132006"">http://nla.gov.au/nla.news-article173132006</a> and September 25, 1953, p 9 <a href=""http://nla.gov.au/nla.news-article173137674"">http://nla.gov.au/nla.news-article173137674</a>; <i>Daily Examiner</i>, October 28, 1942, p 1 <a href=""http://nla.gov.au/nla.news-article194065802"">http://nla.gov.au/nla.news-article194065802</a>; <i>Dungog Chronicle</i>, June 7, 1932, p 4 <a href=""http://nla.gov.au/nla.news-article141145816"">http://nla.gov.au/nla.news-article141145816</a>; Clayton-Dixon 2019, p 95.",https://c21ch.newcastle.edu.au/colonialmassacres/detail.php?r=942,2024-06-01 00:06:21,2024-11-17 15:29:54,942,Baanbay,NSW,NSW,New England,August 1852,Day,Aboriginal or Torres Strait Islander People,10,Aboriginal,Colonists,0,"Settler(s), Police",Horse,Reprisal,"Carbine(s), Pistol(s), Sword(s)",***,"Mrs Sullivan, shepherd's wife at Aberfoyle station",'shot down as many as they could',,,,,25,14,6,Anewan,Anewan,Anewan: Anewan,East,South
301,td0cc0,1336,"Darkie Point, Ebor",Site,"The murder of 5 members of the Meldrum family in the Bald Hills area was reported in August 1852: 
'On the 23rd instant, information was given to the Armidale
police that a most dreadfull massacre had been committed the day before, at the Bald Hills' station,
(Mr. Allen's) in this district, near the Clarence line
of road. The unfortunate sufferers were Mary
Mason, and her two children, of the respective
ages of 3 and 18 months, and John Meldrum ...
On the information being received,
the chief constable proceeded to the scene, but
could not succeed in capturing any of the scoundrels;
in fact, the police force in this district is so miserably deficient in numbers, that life is not safe even
in the vicinity of the town from these savages. We
trust that the Inspector-General of Police will see
the necessity of immediately supplying the deficiency: otherwise it is likely that the people will
either leave their various employments in the bush,
or take the law into their own hands'
(<i>The Goulburn Herald and County of Argyle Advertiser</i>, 18 Sep 1852, p 3).
<br>
According to an article published in 1932, Major Parke led a group of colonists who shot a 'great number' of Aboriginal people in reprisal for the killing of the Meldrum family. The date given as '1856' in this article is most likely a misprint, as the murders occurred in 1852.
'In 1856 aboriginals attacked
Meldrum's home and killed all the inmates with the exception of a baby
who had been thrown against a wall
and left there stunned. A man named
Imray (or Emery), who had been out
on the run shepherding sheep, on his
return to the homestead found the
bodies of the murdered people and also
discovered the baby which had re
covered and was lying beside a cat.
The blacks who were responsible for
the tragedy were tracked over the
rough country and were discovered on
a creek on the Macleay. A great number of them were shot by Major Parke
and other residents of the district who
had joined in the chase' (<i>Dungog Chronicle: Durham and Gloucester Advertiser</i>, 7 Jun 1932, p 4).
<br>
Indigenous historian Callum Clayton-Dixon summarised the sequence of events thus:  'Following the killing of several colonists in the Bald Hills area in August 1852, a group of Aboriginal people were chased to the edge of a sheer bluff south of Ebor and were either shot or pushed over the edge, probably both. Constable Michael Clogher and Major Edward Parke were two of the main perpetrators' (Clayton-Dixon 2019, p.138).",-30.44,152.418,1852-08-23,1852-09-30,"Clayton-Dixon 2019; The Goulburn Herald and County of Argyle Advertiser, 18 Sep 1852, p 3 <a href=""https://trove.nla.gov.au/newspaper/article/101732642"">https://trove.nla.gov.au/newspaper/article/101732642</a>; Dungog Chronicle: Durham and Gloucester Advertiser, 7 Jun 1932, p 4 <a href=""https://trove.nla.gov.au/newspaper/article/141145816"">https://trove.nla.gov.au/newspaper/article/141145816</a>",https://c21ch.newcastle.edu.au/colonialmassacres/detail.php?r=1071,2024-06-01 00:06:20,2024-11-17 15:29:53,1071,Baanbay,NSW,NSW,Armidale,August 1852,,Aboriginal or Torres Strait Islander People,6,Aboriginal,Colonists,0,Mounted Police,Horse,Reprisal,"Musket(s), Bayonet(s)",*,3,"men, women and children",,,,,25,14,6,Anewan,Anewan,Anewan: Anewan,East,South
418,td0d7f,1336,Armidale,Site,"According to the <i>Armidale Express</i> of 23 June 1860, p 2: 'It is rumoured that parties from two stations in the police district of Armidale went out lately after the wild blacks, and so scared the latter that they are not likely to be heard of again near Armidale for some time to come.' According to  historian, Callum Clayton-Dixon 2019, p.103,  Aboriginal resistance was 'reduced significantly at this point'.",-30.599,151.801,1860-06-01,1860-06-30,"<i>Armidale Express</i>, 23 June 1860, p 2 <a href=""http://nla.gov.au/nla.news-article188961690"">http://nla.gov.au/nla.news-article188961690</a>; Clayton-Dixon 2019, p 103.",https://c21ch.newcastle.edu.au/colonialmassacres/detail.php?r=943,2024-06-01 00:06:21,2024-11-17 15:29:54,943,"Anaiwan, McLeay River Aboriginal people",NSW,NSW,New England,June 1860,Day,Aboriginal or Torres Strait Islander People,6,Aboriginal,Colonists,0,Stockmen/Drover(s),Horse,Opportunity,"Carbine(s), Bayonet(s)",*,,,,,,,25,14,6,Anewan,Anewan,Anewan: Anewan,East,South
150,td0cd9,1336,Moreton Island,Site,"At dawn, on the edge of the freshwater lagoon close to Moreton island's southern extremity, Captain Clunie, with a detachment of the 17th Regiment, surrounded a Ngugi camp and killed up to twenty people. George Watkins recorded: 'nearly all were shot down.  My informant, a young boy at the time, escaped with a few others by hiding in a clump of bushes' (Watkins, 1892, p 43).",-27.36,153.426,1831-07-01,1831-07-01,"Evans, 1999, p 65; Watkins, 1892, p 43.",https://c21ch.newcastle.edu.au/colonialmassacres/detail.php?r=573,2024-06-01 00:06:21,2024-11-17 15:29:53,573,Guwar,NSW,QLD,Brisbane,01/07/1831,Dawn,Aboriginal or Torres Strait Islander People,20,,Colonists,0,Foot Soldier(s),Foot,Opportunity,"Firearm(s), Musket(s)",**,,,Ngugi,,,,85,23,12,Bays,Early,Bays: Early,East,Early
359,td0d1a,1336,"North Stradbroke Island, Moreton Bay",Site,"Reprisal for an Aboriginal attack on a ship. Carried out by Captain Clunie, 17th Regiment and a detachment of soldiers.",-27.399,153.455,1832-12-22,1832-12-31,"Clunie, 12 Jan 1833, QSA CSL micro 8; Evans, 1999, p 65.",https://c21ch.newcastle.edu.au/colonialmassacres/detail.php?r=628,2024-06-01 00:06:21,2024-11-17 15:29:54,628,Noonucal,NSW,QLD,Brisbane,22/12/1832,Day,Aboriginal or Torres Strait Islander People,6,,Colonists,0,Military,Foot,Reprisal,"Firearm(s), Musket(s), Pistol(s)",**,,,Nunukul,,,,85,23,12,Bays,Early,Bays: Early,East,Early
343,td0ceb,1336,"Grantham, Moreton Bay  Pastoral District",Site,"On 1 October 1841 at Grantham on the Darling Downs, a man called Rogers reported a 'standup' battle in which '...two whites were speared and several Aborigines…severely wounded' (Evans, 2007, p 53). Another report by an ex-convict, Brown, however, said the Yugara camp 'was stormed before dawn' by the horsemen and that the firing continued for about half an hour but the number of Yugara [Yuggera] killed is unknown (Evans, 2007, p 53). This 'battle' was in response to the Yugara killing of shepherds at Mocatta's and Somerville's stations and attacks on James Balfour's station at Colinton. The attack was carried out by James 'Cocky' Rogers, superintendent of George Mocatta's station, George Somerville from Tent Hill and their servants, heavily armed with muskets and on horseback (Evans, 2007, p 53).",-27.549,152.183,1841-10-01,1841-10-01,"Evans, 2007, p 53; A. Hodgson, Report on Aboriginal Outrage, October 27, 1841, SRNSW Col. Sec. 41/9744, CSL micro 12; Moreton Bay Book of Trials, January 13, 1842, OML.",https://c21ch.newcastle.edu.au/colonialmassacres/detail.php?r=584,2024-06-01 00:06:21,2024-11-17 15:29:53,584,Yugara or Giabal,NSW,QLD,Brisbane,01/10/1841,Dawn,Aboriginal or Torres Strait Islander People,6,Aboriginal,Colonists,0,"Settler(s), Stockmen/Drover(s)",Horse,Reprisal,"Firearm(s), Musket(s)",***,2,,,,,,42,23,12,Bays,Moreton Bay and Darlling Downs,Bays: Moreton Bay and Darlling Downs,East,South
157,td0cef,1336,Kilcoy Station,Site,"On 1 February 1842, flour laced with strychnine was given to a large group of Aboriginal people at Kilcoy station by two shepherds, resulting in the deaths of at least sixty of them. The shepherds were employed by Evan MacKenzie, lessee of Kilcoy station (<i>SMH</i>, December 5, 1842, p 2).
According to Lauer, two escaped convicts, Bracewell and Davis, who had been living with Aboriginal people before being captured, reported that about 14 or 15 tribes had met at Booroon in the 'Great Bunya Scrub' to discuss a response to the poisoning and had formed a council of war resolving on vengeance. (Lauer, 1977, p 47)",-26.884,152.584,1842-02-01,1842-02-01,"Lang, 1847, p 279; Marr, 2023, pp 121-126; Qld Parlt Legislative Assembly, 1861(a), p 19 - Select Ctee in to the Native Police; <i>Queenslander,</i> May 21, 1892, p 987, <a href=""http://nla.gov.au/nla.news-article19824074"">http://nla.gov.au/nla.news-article19824074</a>; <i>SMH</i>, December 5, 1842 <a href=""http://nla.gov.au/nla.news-article12426931"">http://nla.gov.au/nla.news-article12426931</a>, Lauer, 1977 <a href=""https://espace.library.uq.edu.au/view/UQ:1dac35b"">https://espace.library.uq.edu.au/view/UQ:1dac35b</a>",https://c21ch.newcastle.edu.au/colonialmassacres/detail.php?r=586,2024-06-01 00:06:21,2024-11-17 15:29:54,586,"Giggarbarah, Woongunbarah and other groups in transit",NSW,QLD,Brisbane,01/02/1842,Day,Aboriginal or Torres Strait Islander People,60,Aboriginal,Colonists,0,Shepherd(s),Foot,Opportunity,Poison,***,,,,,,,42,23,12,Bays,Moreton Bay and Darlling Downs,Bays: Moreton Bay and Darlling Downs,East,South
161,td0cf5,1336,"Yandilla station, Darling Downs Pastoral District",Site,"According to historian Maurice French, in late 1842,  squatter Sydenham Russell, and stockmen Ralph Gore and Domville Taylor 'surprised a large group of natives coolly rounding up a mob of cattle in broad daylight between Yandilla and Tummaville.' (French, 1989, pp 102-103) According to historian HS Russell, 'The blacks had been more aggressive of late than ever. They were harrying and killing cattle wherever cattle were. The shepherds were in a terrible state of ""funk,"" and no wonder. My brother had caught them, when crossing the plain between Yandilla and Tummavil in company with Ralph Gore and Taylor, coolly rounding a mob up in the open, and preparing to kill. A ""set-to"" was the consequence. The blacks numbered about three hundred, and kept admirable order and showed unusual courage. Upon the firing of a shot, the ""ducking"" of heads and rush on their assailants were instantaneous, well arranged, and executed. Syd.'s horse was fidgetty; so he jumped off and let him loose. The ""brummagem"" double barrelled gun which he had—mine, however—burst in his hands without doing damage; and it must have been quite half-an-hour before the mob, which showed a steady line throughout, had retreated, step by step, to the timber which skirted the western edge of the plain, and only then turned tail.' (Russell, 1888, p 328).",-27.854,151.386,1842-10-01,1842-12-31,"French, 1989, pp 102-103; Russell, 1888, p 328 and 348 <a href=""https://www.textqueensland.com.au/item/book/b86c5755be236c74a8fc29e7ae220cb6"">https://www.textqueensland.com.au/item/book/b86c5755be236c74a8fc29e7ae220cb6</a>.",https://c21ch.newcastle.edu.au/colonialmassacres/detail.php?r=589,2024-06-01 00:06:21,2024-11-17 15:29:54,589,Bigambul?,NSW,QLD,Drayton,late 1842,Day,Aboriginal or Torres Strait Islander People,6,Aboriginal,Colonists,0,"Settler(s), Stockmen/Drover(s)",Horse,Reprisal,"Firearm(s), Musket(s)",*,,,,,,,42,23,12,Bays,Moreton Bay and Darlling Downs,Bays: Moreton Bay and Darlling Downs,East,South
57,td0d88,1336,"Armstrong's Crossing, Blackfellows Creek, Lockyer Valley",Site,"'In the 1840s when the teamsters used to go through from Moreton Bay to Toowoomba, the blacks were very troublesome along the route, and English soldiers (from the 99th Regiment) were stationed near Helidon for the protection of travellers. Once when a party  Aboriginals was giving trouble, the soldiers attacked them and drove them across to the creek at Tent Hill, and beside a big water-hole near Armstrong's Crossing shot them all and left them lying there' (<i>Queensland Times</i> 26/11/1927, p 13).  'The Crossing was at Blackfellows Creek and Blackfellows Gully so named because of the great quantity of bones found there' (Gardner, 1854, vol 2, p 124).",-27.725,152.222,1843-01-01,1843-12-31,"Gardner, 1854, vol 2, p 124; <i>Queensland Times</i>, 26 November 1927, p 13 <a href=""https://trove.nla.gov.au/newspaper/article/117271639"">https://trove.nla.gov.au/newspaper/article/117271639</a>.",https://c21ch.newcastle.edu.au/colonialmassacres/detail.php?r=949,2024-06-01 00:06:21,2024-11-17 15:29:54,949,,NSW,QLD,Moreton Bay,1843,,Aboriginal or Torres Strait Islander People,6,Aboriginal,Colonists,0,Soldier(s),Foot,Opportunity,Muzzle Loading Rifle(s),**,,,,,,,42,23,12,Bays,Moreton Bay and Darlling Downs,Bays: Moreton Bay and Darlling Downs,East,South
